Feedback Received (ET),VA.gov Experience,Why did you select that rating?,VA.gov Understanding,General VA Trust,Trust in VA Commitment to Veterans,Were you able to do your task today?,What is your overall satisfaction with this site?,What task were you trying to do today?
11/13/2025 16:50,,,,,,No,,I was asked to update my contact information (telephone) and was given an error. The error  claimed the update could not be completed at this time and the problem was being fixed
11/13/2025 15:01,,,,,,No,2,"update my mobile phone  ""We’re sorry. We can’t update your information right now. We’re working to fix this problem. Try again later."""
11/13/2025 13:45,,,,,,No,1,Acquire a Veteran's ID card
11/13/2025 12:54,3,"I'm getting a few errors here and there.  Not a show stopper, but it does slow me down.",3,3,3,,,
11/13/2025 12:31,,,,,,No,2,sign-in
11/13/2025 12:14,,,,,,No,4,It's impossible for me to add a phone number since I live outside the US
11/13/2025 11:59,,,,,,Yes,,
11/13/2025 11:58,,,,,,,,
11/13/2025 11:57,,,,,,Yes,,
11/13/2025 11:57,,,,,,,,
11/13/2025 10:31,,,,,,No,,
11/13/2025 10:31,,,,,,No,3,add my phone numner
11/13/2025 9:51,4,,5,4,4,,,
11/13/2025 9:08,,,,,,Yes,2,update/add my contact informtion (mobile number)
11/12/2025 21:58,,,,,,No,1,Trying to update my required information
11/12/2025 20:00,,,,,,Yes,4,Was trying to get update on pending claim?
11/12/2025 18:35,,,,,,No,3,Fill óut my info.  928 920 4618
11/12/2025 17:30,,,,,,No,2,apply for direct deposit with va
11/12/2025 14:45,,,,,,No,1,I wasn't able to update my phone number and couldn't get on to get an answer as to why champVA is not paying on my claims when I don't have no other insurance.
11/12/2025 13:58,,,,,,No,2,
11/12/2025 13:32,,,,,,,,
11/12/2025 12:39,,,,,,Yes,,
11/12/2025 12:37,,,,,,,,
11/12/2025 11:52,,,,,,Yes,4,
11/12/2025 10:12,,,,,,No,3,Update my phone number
11/12/2025 9:07,2,I am a caregiver for my son who is medically retired from the Navy.  I find it impossible to access information that I need for him.,1,3,5,,,
11/12/2025 6:26,,,,,,No,1,I have an international mobile number and do not live in the USA
11/12/2025 1:40,,,,,,,1,
11/11/2025 10:27,,,,,,No,2,Update contact information. I live outside the US and do not have a US phone number.
11/11/2025 10:14,,,,,,No,1,Mailing Address
11/11/2025 10:13,,,,,,No,1,email address
11/11/2025 10:12,,,,,,No,2,Update Identity
11/11/2025 9:49,2,,,,,,,
11/11/2025 9:19,5,It was easy to access my account,5,5,5,,,
11/11/2025 8:33,,,,,,No,2,"After receiving a letter from  US Dept of Veterans Affairs, I am trying to complete my application by adding my DD214."
11/11/2025 8:17,2,When I try to update my mobile phone number I receive an error message.,5,3,5,,,
11/11/2025 0:37,,,,,,No,,Status of my application for ID card
11/10/2025 21:01,,,,,,No,1,Register AGAIN for a VA ID card for the 4th time. If it doesn't work just tell me I have to come in.
11/10/2025 12:53,,,,,,Yes,5,Resting
11/10/2025 11:16,,,,,,No,1,Start ldme
11/10/2025 9:16,2,Can't update email address,2,3,3,,,
11/9/2025 22:03,1,"Every time I open it there is one more thing that needs to be done.  I tried to add a 2nd phone, that was not a smart phone, and they wanted to send a text msg to it - not happening.  And I could not back out of that area of website to change my selection to no 2nd phone.",1,3,1,,,
11/9/2025 20:43,,,,,,Yes,3,access va benefits
11/9/2025 14:06,,,,,,No,2,input email and phone number
11/9/2025 14:04,,,,,,No,3,I was trying to add my mobile phone number but I do only have a German phone number which is not accepted
11/9/2025 13:31,2,"Trying to get to the FAST tool, and it is not obvious of how to get there. I created an id.me and it was approved, so maybe I will see the section soon!  This popped up right when I logged in and tried to add contact information (which it says ""We're sorry. We can't update your contact information right now. We're working to fix this problem.)",3,3,5,,,
11/9/2025 12:03,,,,,,Yes,5,Updated my profile
11/9/2025 11:51,,,,,,No,3,Update contacs
11/9/2025 11:33,,,,,,No,1,Update contact information
11/9/2025 9:06,,,,,,No,3,Wanted to update my handy (cell) number and my off base address. Both are European.
11/8/2025 15:39,,,,,,No,4,
11/7/2025 18:00,,,,,,No,3,log in
11/7/2025 16:16,2,It is so hard for an old veteran to get signed in through all of this garbage. It was always so simple to use.,1,1,3,,,
11/7/2025 15:01,,,,,,Yes,3,
11/7/2025 9:04,,,,,,No,1,access my va doctor for perscription refill1
11/7/2025 8:59,,,,,,No,3,Update contact information
11/7/2025 7:34,,,,,,,,
11/6/2025 21:03,,,,,,No,1,completing VA registration to submit disability claim.
11/6/2025 17:45,,,,,,No,1,
11/6/2025 15:01,,,,,,No,2,I was trying to put my number but it did not work and I have an American number
11/6/2025 7:05,,,,,,No,,
11/6/2025 0:44,2,Because everytime I do try and access certain things on the website it doesn’t work or won’t let me do something.,,,,,,
11/5/2025 23:06,,,,,,,,
11/5/2025 15:55,2,The website tells me that I need to update my contact info but it can't even accept my mobile phone number because something is broke.,2,3,2,,,
11/5/2025 15:36,1,,,,,,,
11/5/2025 13:43,,,,,,No,1,Trying to up date my information
11/5/2025 10:00,,,,,,Yes,4,GETTING INFORMATION ABOUT VA BENEFITS AND PROGRAMS
11/5/2025 2:39,,,,,,Yes,2,Change mailing address.
11/5/2025 1:15,,,,,,No,2,
11/4/2025 23:52,3,Being overseas is hard specially if you don't have a state side phone number,2,1,3,,,
11/4/2025 20:14,,,,,,,1,
11/4/2025 16:49,,,,,,No,,I was trying to add my mobile number and the site would not allow it. And yes I double and triple checked entry.
11/4/2025 15:27,1,,1,1,2,,,
11/4/2025 15:24,,,,,,No,2,Digital veterans ID card
11/4/2025 5:33,2,got news of,3,,1,,,
11/3/2025 23:08,,,,,,No,2,I was trying to add my phone number
11/3/2025 22:49,2,It took me 10 different tries to get logged in. I saved my personal ID then it changed...,2,3,2,,,
11/3/2025 17:07,,,,,,No,2,Update my phone number
11/3/2025 16:08,,,,,,Yes,4,"I am being asked to enter my cellphone, yet, I use my landline at home.  When the VA calls my cell I miss the calls.  Therefore I asked that it be removed."
11/3/2025 10:29,,,,,,No,1,Update my address
11/3/2025 10:09,,,,,,Yes,4,Report death of spouse.00”
11/3/2025 10:01,,,,,,Yes,,
11/2/2025 21:35,1,"The links don't work, and they are byzantine to say the least.  The website doesn't recognize that files have been uploaded, and there are too many different services trying to authenticate information.  This is what happens when you don't maintain basic functionality on a website.",1,1,3,,,
11/2/2025 19:25,,,,,,No,1,Re-order prescriptions.  I have no mobile phone.
11/2/2025 17:52,,,,,,No,2,You need to take the politics out of the info provided.. It doesn’t matter that Republicans have the majority..blame blame. He’s a vindicitive person!!
11/2/2025 13:50,,,,,,Yes,3,Correct wrong information on my account
11/2/2025 11:07,,,,,,,1,update contact info. I have a Mexican cell phone number and your site will not allow me to enter it. It is 52-331-439-0949. I had to enter my wife's US cell number. I may not always be able to access it
11/1/2025 20:16,,,,,,No,1,I can’t figure anything out on this website my head is swimming. I think I will just use the FAX system. Can you tell me how to delete all the info I’ve left in this site. I give up.  Just trying to upload requested docs in order to help my son process a claim for us. I wish this worked I just can’t figure this out.  I’m sorry 😞
11/1/2025 11:17,4,Had problems trying to with with login.gov Updating information is confusing. It changes the information but the input form does not return to the previous screen. Confusing workflow.,4,3,,,,
11/1/2025 0:44,,,,,,No,3,I do not have a usa phone number.
11/1/2025 0:42,,,,,,No,1,I do not have a state number. What should i do?
11/1/2025 0:40,,,,,,No,,I do not have a USA phone number. I live in Germany
11/1/2025 0:38,,,,,,No,,Update my phone
10/31/2025 18:14,1,"I wish you would quit messing with this!! Now, either my identity or browser is rejected so I can't into any health-related needs.",5,1,2,,,
10/31/2025 16:39,,,,,,No,2,mobile phone number
10/31/2025 16:37,5,Easy to follow,5,5,5,,,
10/31/2025 15:21,,,,,,,,
10/31/2025 14:43,1,it keeps asking for me to update my mobil number and it says it cant update it.,5,3,5,,,
10/31/2025 12:47,,,,,,No,3,Can not add contact information. Attempting to sign up for V.A. Medical.
10/31/2025 12:41,,,,,,No,1,add my mobile number.  the web site states it cannot update that info.
10/31/2025 12:16,1,COULD NOT UPDATE INFO.  UNACCEPTABLE,5,1,2,,,
10/31/2025 12:13,,,,,,No,2,Trying to update my contact info. It won’t accept my phone number
10/30/2025 23:12,,,,,,No,1,"No email, I was trying to add my email to the contact information list. Multiple errors were presented as not working."
10/30/2025 21:54,,,,,,No,3,"re: Your request for contact information update You say you need my cellphone number but the form allows (and states specifically) ""U.S. numbers only"" I live in Australia now and no longer have a U.S. phone number...just an Australian number."
10/30/2025 21:37,,,,,,No,1,Can not add my mobile number because the field only accept so U.S. phone numbers.  I live in the Philippines.
10/30/2025 19:28,,,,,,No,,You made it to hard to sing in.  Did that face recognition. Then it said you are having problems.  Come on.  It's 2026...  get it together.
10/30/2025 15:08,,,,,,No,2,Update information but have no mobile phone so system will not allow update.
10/30/2025 15:05,1,"No application status update available. We don't even know if the application was received and it's been more than 60 days since it was submitted. Also can't update contact info, getting an error",3,2,3,,,
10/30/2025 14:01,2,Trying to get a Veterans ID card and can't seem to access how to get one.,2,2,4,,,
10/30/2025 9:58,,,,,,Yes,4,
10/30/2025 9:40,,,,,,No,2,Add contact information
10/30/2025 1:35,,,,,,,,
10/29/2025 22:27,,,,,,No,2,Update my cellphone number. I do not have a U.S. PHONE NUMBER.  My phone is based in the COUNTRY OF PANAMA +507-6334-6981. Your website only accepts US numbers! That is unacceptable.
10/29/2025 22:03,,,,,,Yes,5,
10/29/2025 17:04,1,Nothing on this website is accessible.,1,1,1,,,
10/29/2025 15:35,,,,,,Yes,,
10/29/2025 14:39,,,,,,,,
10/29/2025 14:38,,,,,,No,1,this process is ridiculous  i did all mthe shit u asked and still could not finish .
10/29/2025 13:45,,,,,,No,3,The site says my mobile phone number is required.  I do not have a mobile phone. Does that mean I can't use the site?
10/29/2025 13:37,,,,,,,,
10/29/2025 13:30,,,,,,No,3,I need to complete my accounting report as a fiduciary
10/29/2025 13:16,,,,,,No,2,Adding Phone Number to Contact Information.
10/29/2025 11:43,3,,,,,,,
10/29/2025 10:47,,,,,,Yes,4,
10/29/2025 10:35,,,,,,Yes,5,log into my account
10/28/2025 18:10,,,,,,No,1,edit contact info
10/28/2025 15:30,,,,,,No,3,apply for CHAMPS health insurance
10/28/2025 11:30,,,,,,Yes,5,
10/28/2025 10:43,,,,,,Yes,,
10/27/2025 23:58,,,,,,,,
10/27/2025 22:26,,,,,,No,1,Update mobile number
10/27/2025 21:40,,,,,,,2,
10/26/2025 19:07,,,,,,No,,Add cell number.  I do not have one.
10/26/2025 19:05,,,,,,,,
10/26/2025 18:40,,,,,,No,3,Tried to enter mobile Phone number and app would not accept.
10/26/2025 9:13,1,"you TOLD me to update my contact info when you know VERY WELL you HAVE my contact info but want it again anyway and when I TRY to put in my contact info you give me a sign ""We're sorry. We. can't update ... blah blah blah -- it's insane!",3,2,4,,,
10/26/2025 9:11,1,"I see that my personal information needs to be updated, but the site won't let me. And I can't find any of the information I am looking for.",3,3,2,,,
10/26/2025 9:09,,,,,,No,1,edit my phone number
10/26/2025 9:06,,,,,,No,1,Your site said i needed to update my cell - which you have had for 30 years - and my address. It then says error.
10/26/2025 8:55,,,,,,No,2,Update information
10/26/2025 8:52,,,,,,No,1,Y'all asked for my information and cannot update it on your end. Laughable.   It's okay I think DOGE was also a joke.
10/26/2025 8:48,,,,,,No,2,I can’t update anything for contact info!
10/26/2025 8:45,,,,,,No,3,update information
10/26/2025 8:41,,,,,,No,1,
10/26/2025 8:40,,,,,,No,1,"Entering my personal information, phone number, address and social security number.... It's not letting me do this."
10/26/2025 8:39,,,,,,,,
10/26/2025 8:18,5,,,,,,,
10/26/2025 8:10,,,,,,No,2,Medication
10/26/2025 8:02,5,Easy to navigate,5,5,5,,,
10/24/2025 9:10,5,Ease of secure access,4,4,1,,,
10/24/2025 5:36,,,,,,No,1,"View my information, not every veteran is CONUS. How are we supposed to view our information/documents if we don’t have a stateside number?"
10/24/2025 5:20,,,,,,,,
10/24/2025 3:22,,,,,,No,3,"I was requested to add my mobile number; however, I do not have a U.S. number."
10/23/2025 21:51,,,,,,No,2,Enter my mailing address
10/23/2025 21:48,,,,,,No,,Enter my mailing address
10/23/2025 4:17,,,,,,No,,Add phone number. My phone number is international.
10/22/2025 23:07,,,,,,No,2,Your system will not accept international phone numbers.  Your system keeps asking for update of phone number but will not accept as stated..
10/21/2025 12:56,1,Not accepting my 10 digit phone number,1,1,1,,,
10/21/2025 0:45,,,,,,No,1,I am trying to update my contact information but I cant because it only accepts a state side number. Fix this problem so I can complete this process.
10/20/2025 14:52,,,,,,No,1,
10/20/2025 13:58,,,,,,No,,Unable to add my international cell phone number
10/19/2025 20:17,,,,,,No,2,
10/18/2025 11:46,,,,,,No,,
10/17/2025 19:12,,,,,,No,,I don't have a Us phone number you must call my phone in Mexico I think this website is s*****
10/16/2025 23:21,,,,,,No,1,it wont accept my email address
10/16/2025 21:39,,,,,,No,,
10/16/2025 18:59,,,,,,No,1,I don't have a cell phone
10/16/2025 16:00,,,,,,No,1,"I don't have a mobile phone, so there must be some things I cannot update.  There must be a way to do business without a mobile phone."
10/16/2025 12:47,,,,,,No,1,Verify military service
10/16/2025 5:04,,,,,,No,3,I am located overseas and do not have a US cell phone number to update my contact information.
10/15/2025 21:48,,,,,,,2,what the fuck would YOU DO IF I DON'T HAVE INE YOU DUMB ASSHOLES!
10/15/2025 21:46,,,,,,No,2,IF I WANTED YOU TO HAVE MY CELL PHONE NUMBER I WOULD HAVE GIVEN IT TO YOU!
10/13/2025 14:15,,,,,,No,1,"Reserve burial at the national cemetery in Alabama. But the prolonged and agonizing process to log in, verify my identity and finally get to this point where you ask me about the process you haven't done yet is tiring,. We are OLD!!! Get a high school kid to figure out an easier system you are laborious and unnecessary. What is the purpose of the VA to help veterans or torment them?"
10/13/2025 8:26,,,,,,No,1,"Provide a phone number, which is “required” but only accepts US numbers and I don’t have one."
10/11/2025 15:43,,,,,,Yes,,
10/11/2025 7:28,,,,,,No,2,Update email
10/10/2025 14:17,,,,,,Yes,4,set up an account
10/10/2025 3:12,,,,,,No,2,Adding a mobile number!  The site shows I have my address in Germany.  This is correct.  How am I to enter my German mobile number?  It only allows for US numbers.  I had to make up a number (incorrect) in order to proceed or continue.
10/9/2025 20:03,,,,,,No,,
10/9/2025 19:34,,,,,,No,3,We’ll save your application on every change. Your in-progress ID number is 18567607.  Note: A mobile phone is required for this application. We still don’t have your mobile phone. Please edit and update the field. Your mobile phone is missing. Please edit and update the field.   A.I. web page doesn't provide an exit if one does not have a mobile phone - why assume 'everyone' has one?
10/9/2025 19:31,,,,,,No,3,https://www.va.gov/my-va/welcome-va-setup/contact-information  Could NOT complete because I DO NOT HAVE A MOBILE PHONE
10/9/2025 18:04,,,,,,Yes,4,
10/9/2025 12:44,,,,,,No,3,I am trying to sign up with ChampVA in order to work my claims  working for SanfordHealth Equip
10/9/2025 12:12,5,You have to be tech savvy but dayyyummmm this is dope,5,5,5,,,
10/9/2025 11:52,5,,,,,,,
10/9/2025 11:28,,,,,,No,1,You only accept U.S. mobile phone numbers. I live in Germany. Your website won't accept a German phone number.
10/8/2025 20:09,,,,,,No,2,you asked me to update my contact information but require me to provide a mobile phone number to complete it.  I don't use a mobile phone and have no need and no intention of doing so.  I have a land line and you have that number.
10/8/2025 15:56,,,,,,No,1,Trying to get my information but I do not have a mobile phone.
10/8/2025 9:36,,,,,,,3,lab results
10/8/2025 9:26,,,,,,No,4,"I'm trying to update my personal information, primarily, my cell phone number and it does not accept foreign numbers.  I currently live overseas and do not have a U.S. base cell phone number.  Any suggestions on how to proceed from here?"
10/7/2025 21:54,,,,,,No,3,"Trying to update my phone contact number, your website accepts foreign address but will not allow me to add foreign phone number."
10/7/2025 7:39,5,simple web layout makes it easy to find the information I was looking for,5,5,4,,,
10/6/2025 16:18,5,Unknown. I could login,5,3,3,,,
10/3/2025 13:01,5,Very simple and helpful,5,4,4,,,
10/3/2025 8:19,,,,,,,4,
10/2/2025 15:30,,,,,,No,3,Update email address
10/2/2025 15:27,,,,,,No,,Get an id
10/2/2025 5:59,,,,,,No,,Log into my va account
10/1/2025 18:35,,,,,,Yes,3,
10/1/2025 10:46,,,,,,No,1,"I have been trying to update my address (I have not moved in 20 years, but for some reason, the VA website wants me to update my address).  My address is 13722 Box T Dr., but the word ""Box"" is making the system reject it because it thinks I entered a P.O. Box address. How can I fix this problem.  Please email me @ frank@frankrogers.net"
10/1/2025 9:27,1,You guys have been withholding my money for weeks.,3,1,1,,,
10/1/2025 6:10,,,,,,No,1,Add my mobile phone number.  system will take US number only and I don't have a US number
9/30/2025 15:14,,,,,,No,1,"log in - it requires a cell phone for text messages, and I don't have a cell pnone"
9/29/2025 8:22,,,,,,No,2,Update contact info/submit CHAMPVA claims
9/28/2025 4:35,,,,,,No,1,You keep telling me to update my contact information but you only allow for a US telephone number. I live in Italy. Fix your webpage and I will happily comply.
9/26/2025 13:51,2,Difficult to find helpful information and EOB’s,3,3,4,,,
9/26/2025 11:03,,,,,,No,3,"will not take email address, stated not valid, bit it is"
9/26/2025 4:52,,,,,,No,1,add a ph# Please add an overseas number capability
9/25/2025 20:58,,,,,,No,2,demanding mobile phone number NOT APPLICABLE
9/25/2025 13:16,,,,,,No,,Update phone number....I no longer have a US phone number. I have one in Italy.
9/25/2025 1:02,,,,,,No,,
9/24/2025 14:28,4,No comment,4,4,5,,,
9/24/2025 11:04,,,,,,,1,
9/24/2025 10:34,,,,,,,,
9/23/2025 19:06,,,,,,No,3,Update mobile number. I live in Germany and only have access to a german phone number. I need to be contacted and have no way to upload german number. Please make this an option promptly.
9/23/2025 18:59,,,,,,Yes,4,
9/23/2025 16:15,,,,,,No,3,trying to add my cell number to update contact info. Number field will not populate
9/23/2025 12:27,5,He was able to help me in a short amount of time!,3,4,4,,,
9/22/2025 20:20,,,,,,No,4,"update contact information. tried to add phone number and it failed ""sorry we can't update... right now"""
9/22/2025 15:06,,,,,,No,1,"Trying to get healthcare overseas, will not accept Spanish phone #"
9/22/2025 11:38,,,,,,No,1,"complete contact information page, it says a cell phone is REQUIRED to finish. What if I don't HAVE A CELL PHONE??"
9/22/2025 3:31,,,,,,No,1,update phone. I stationed overseas and I don't have a US phone number and is impossible to updated. We thousands of US citizens living outside of CONUS how there not an option for foreign phones?
9/21/2025 9:16,,,,,,No,1,I have an overseas cell #  .Check my
9/20/2025 13:16,,,,,,,,
9/20/2025 9:19,5,Great experience with checkups at the Popular Bluff V. A.,5,5,5,,,
9/19/2025 20:41,,,,,,Yes,3,register for ID ME.
9/19/2025 17:07,,,,,,No,3,"I am trying to inform VA.gov that I don't own a cell phone, or mobile phone.  Your software refuses to let me inform you of this fact. I hope never to own a cell phone."
9/19/2025 9:16,,,,,,,3,Trying to put my address in  - it keeps Rejecting it
9/19/2025 7:24,,,,,,No,4,Edit my mobile phone number. Will only accept US mobile numbers and I live in Europe
9/18/2025 17:23,5,"so far, so good",5,4,4,,,
9/18/2025 13:58,5,The experience was very easy and helpful,5,5,5,,,
9/18/2025 12:15,,,,,,No,1,"I just needed to update email address, but now your website is requiring a mobile phone number as a required field, but per the Americans with Disabilities Act (ADA), this is in violation of Federal law as it doesn't accommodate those with disabilities that preclude them from owning a phone.  As such, please remove this requirement, again, as previously requested on my account, and again, note that contact must be made via e-mail in order to accommodate disability as allowed, afforded, and protected by the ADA, and the rules established by the Department of Justice, Title II:  effective communication for those who are disabled.  Thank you.  P.S.  Lately, there is a problem with back-end servers not calling back via login protocols and not refreshing in a timely manner; often requiring user to manually stop browser from loading when it gets stuck, and manually refreshing multiple times, or re-attempting login multiple times.  This has been getting worse over the last couple weeks.  Per FEDERAL and STATE HIPPA an Privacy Laws, I do NOT consent that the information I provided be made part of public record, as this is information is PROTECTED and CONFIDENTIAL."
9/18/2025 4:36,4,Waiting for my insurance to turn on seems like forever.,,,,,,
9/18/2025 4:07,,,,,,No,2,The site is requesting my contact information specifically my mobile phone number. It is requesting US numbers only. But I live in Germany and do not have a US number.
9/18/2025 3:16,,,,,,No,4,I can not add a Mobile phone number because I live in Germany. I also can not add a Bank Account because I only have an Account in Germany.
9/17/2025 15:23,5,"Navigating the site and finding the information was easy, also the application process was clear and concise",5,3,3,,,
9/17/2025 2:16,,,,,,No,2,I live in Thailand and do not have a US phone number. My phone number is through a Thai service with +66 country code therefore I cannot update my phone number.
9/16/2025 19:30,,,,,,No,1,
9/16/2025 14:41,,,,,,,,
9/16/2025 13:40,,,,,,No,,Update email address. Joel does not have an email account! I am his brother and will be assisting him. My email address is drghn@aol.com
9/16/2025 11:39,5,I have never had a problem with the va,4,5,5,,,
9/16/2025 10:57,,,,,,,,
9/16/2025 10:31,,,,,,,,
9/16/2025 3:14,3,unable to enter international mobile phone number within VA.gov edit/update page. ..US only.,3,3,3,,,
9/15/2025 18:41,,,,,,No,,Add my cell number
9/15/2025 6:11,,,,,,No,4,I no longer live in USA. How do I update my phone number when it is not a US number.
9/15/2025 4:45,,,,,,Yes,,I am a vet living abroad. The VA system will not accept my German phone number.
9/14/2025 12:08,,,,,,No,2,don't use a mobile phone just home phone 269 409 8484.
9/13/2025 18:37,4,Authentication process is a little to long.,5,3,4,,,
9/13/2025 4:21,,,,,,No,2,"update my contact information.  Many VA online applications cannot be completed, due to the requirements of having a US phone number, or a spouse that does not have a US SSN.  These requirements make it difficult to complete online forms or updates to my account with the VA.  I am currently living overseas, which makes it  more difficult to interact with the VA."
9/12/2025 9:48,,,,,,No,1,"Set up my contact info. The only thing it let me set up was my phone, and it now claims my email address and my physical address aren't valid. I'm using Safari on a Mac, please fix."
9/11/2025 9:46,2,I need to apply for a specific stipend and got unclear feedback.,3,3,4,,,
9/10/2025 19:26,5,It’s been easy to navigate,4,,,,,
9/10/2025 17:47,,,,,,No,1,edit mobile   I do not have a cell # to list
9/10/2025 13:52,2,"unable to update phone, address and other contact info.  system says you don't have any of this though I have given it to you many times",5,1,3,,,
9/10/2025 13:38,,,,,,No,,
9/10/2025 13:30,,,,,,No,,"Update phone number, email address, and mailing address"
9/10/2025 13:29,,,,,,,,
9/10/2025 13:29,,,,,,,,
9/10/2025 13:09,,,,,,No,1,Trying to update and include phone numbers...  Error message says sorry we cant do that right now   Please add a place to upload a screenshot or picture as documentation
9/10/2025 1:36,3,na,3,2,5,,,
9/9/2025 19:29,5,Smooth website,,,,,,
9/9/2025 16:34,,,,,,,,
9/9/2025 14:35,,,,,,No,2,trying to enter me email address. keep getting a message to enter a valid address. This is my email crossjf@slu.edu
9/9/2025 3:13,,,,,,No,3,I was trying to update my mobile number. I don't have a U.S mobile number. I live in the UK. Is there a work around to add a U.K number?
9/8/2025 20:47,5,Highly efficient. Simple to navigate.,5,5,5,,,
9/8/2025 15:58,3,Telling me I have to provide a mobile number for my profile. My number is private and will remain so. The VA has a hard time keeping information private.,4,3,2,,,
9/8/2025 13:25,,,,,,Yes,2,Telling you I have NO MOBILE PHONE
9/8/2025 12:03,,,,,,,4,"Contact information indicates Mobile Phone Number is required information, but I only have a landline."
9/8/2025 11:42,,,,,,No,4,Update my personal information
9/7/2025 20:12,,,,,,No,2,Update my mobile phone number. I am currently stationed overseas and have a Japanese cell phone number.
9/7/2025 16:13,,,,,,No,,I recieve calls from VA.gov so how could you state you do not have my number
9/7/2025 9:43,5,Easy to use,5,4,3,,,
9/6/2025 16:49,,,,,,Yes,4,do not have a US mobile phone number. I live in Canada. My Canadian mobile is1 2505701699
9/6/2025 15:15,,,,,,No,3,Provide my cell number. It said the site was having an error.
9/6/2025 11:40,,,,,,No,3,Wanted to put contact info in as requested but I don't use a cell phone. I have e mail and a land linee.
9/5/2025 18:35,,,,,,No,4,"I am a DOD employee living in Japan. My mobile phone is an international phone number. Unless you update your telephone requirements, I will not be able to add my mobile to my profile."
9/5/2025 18:33,5,Straightforward and easy to use.,5,5,4,,,
9/5/2025 13:19,,,,,,,,
9/5/2025 10:41,,,,,,Yes,,
9/5/2025 8:44,,,,,,,,
9/5/2025 4:16,,,,,,No,1,remove alert that contact information is missing.   It then states that mobile phone number is missing.   I do not have any information to update.   I do not have a mobile phone number to list.
9/4/2025 23:29,,,,,,No,2,I need to enter a mobile phone number but only US numbers are accepted. I live in Thailand and do not maintain a US phone service.
9/4/2025 15:30,,,,,,No,1,enter phone number 419 429 9655
9/4/2025 13:54,,,,,,,,
9/4/2025 11:53,,,,,,No,,"Order meds, check appointments"
9/4/2025 11:51,,,,,,No,2,System down. I cannot make or check any VA appointments
9/4/2025 11:50,1,The website must be down or something. It's not working correctly.,3,1,4,,,
9/4/2025 1:28,,,,,,No,,
9/3/2025 13:13,1,This security system protects you but is so hard to set up an account with you.,1,3,2,,,
9/3/2025 12:06,,,,,,,4,Was trying to see what I was eligible for
9/3/2025 11:41,5,"crystal from VA 877-327-0022 helped me set up and get ready for college, helped me set up Id.me",3,4,4,,,
9/3/2025 9:13,,,,,,No,3,"I don't have a mobile phone, They coast to much for me to buy. If the VA would give me one ,I'd use it.."
9/3/2025 9:10,,,,,,No,4,"I live in Germany, and I cannot update my mobile telephone number"
9/2/2025 13:43,,,,,,Yes,3,"Need Assistance with non medical disability issues. VA sent my Educational benefits payments to a person and address unknown to me. Had difficulties finding where to submit concerns. So, I submitted this on this platform. I had been looking for months to try to locate proper format or location within the Department of Veterans Affairs but had no luck"
9/2/2025 13:21,,,,,,No,,I am trying to update my phone as per instructions on the website and it says unavailable.
9/2/2025 13:13,,,,,,No,1,"cant update info, site ALWAYS down."
9/2/2025 13:12,,,,,,No,,
9/2/2025 13:11,,,,,,No,1,can't reach anyone at sfvamc. phones ring endlessly.
9/2/2025 13:08,,,,,,No,2,"I was trying to update my information per the notification and after entering the information, a message says that can't be done at this time please try later. Also, my information IS current as I've been receiving mail and repeated text messages about appointments even after confirming them."
9/2/2025 13:08,,,,,,No,2,Update contact info
9/2/2025 10:03,,,,,,,,
9/2/2025 9:59,,,,,,No,1,I do not have a mobil phone
9/1/2025 21:19,,,,,,,,
9/1/2025 21:18,,,,,,Yes,3,
9/1/2025 18:12,,,,,,No,2,enter my Phone number that you asked for but won't accept +49 176 7680 9144 Please Help
9/1/2025 13:49,,,,,,No,,
9/1/2025 13:00,,,,,,Yes,,
9/1/2025 4:41,,,,,,Yes,4,
8/31/2025 4:00,,,,,,No,2,Two things  1) update contact info.  I do NOT have a mobile phone. Can not complete.  That question is STUPID .. LET ME ENTER “N/A”  2) Can’t seem to find My latest CT SCAN image.
8/30/2025 13:52,,,,,,No,1,Looking for my education benefits letter
8/30/2025 12:47,,,,,,Yes,,
8/29/2025 21:56,,,,,,,,
8/29/2025 18:39,,,,,,Yes,,Set up my account to apply for VA benefits
8/29/2025 11:11,1,,,,,,,
8/28/2025 17:08,,,,,,No,3,I need to update my VA Form 21P-534EZ. How can I find the claim i have on file to complete questions 9A-9G.
8/28/2025 15:24,5,Setting up my profile in my  portal was easy and secure.,,,,,,
8/28/2025 14:58,,,,,,Yes,4,
8/28/2025 8:27,,,,,,No,2,Update phone number
8/27/2025 23:06,,,,,,No,,"I entered my address, as requested, and it was not accepted. Why?"
8/27/2025 23:05,,,,,,,,
8/27/2025 18:15,,,,,,,,
8/27/2025 16:21,5,Very easy to use,5,5,5,,,
8/27/2025 16:21,,,,,,Yes,4,
8/27/2025 15:21,5,,4,5,5,,,
8/27/2025 13:19,,,,,,No,2,Enter  mobile phone number. I do not have a mobile phone. Not everyone has a mobile phone. Mine is a land line. It is incapable of recieving texts.
8/27/2025 10:35,,,,,,No,2,Mobile phone # required. DON'T USE MOBILE PHONE -- ONLY VOIP landline.
8/27/2025 8:44,,,,,,No,1,we have a German!!!!!!!!!!!!!!!!!! phone number and run in circles in order to submit something. It does not work at all!!!!!!!!!!!!!!!!!!!
8/26/2025 21:39,,,,,,,,
8/26/2025 17:44,5,Very simple to use and navigate.,5,5,5,,,
